,id,Star_name_x,Distance_x,Mass_x,Radius_x,Star_name_y,Distance_y,Mass_y,Radius_y,Luminosity
0,0,SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.10173536999999999,Sun,0.000015813,0.000954588,0.102763,1
1,1,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998,Sirius,0008.6,0.0020046348,0.17572473,25.4
2,2,LHS 102BC,0.0,0.0,0.0,Canopus,0310,0.014318820000000001,7.296173,"13,500"
3,3,2MASS J00242463-0158201,37.7,0.075412452,0.11201167000000001,Alpha Centauri,0004.4,0.0010500468,0.12331559999999998,2
4,4,2MASS J00250365+4759191AB,143.0,0.0,0.0,Arcturus,0037,0.0010500468,2.6718379999999997,170
5,5,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998,Vega,0025,0.0021000936,0.2774601,50
6,6,2MASS J00275592+2219328,46.9,0.0,0.0,Capella,0043,0.0024819288000000003,1.233156,150
7,7,2MASSW J0030300-145033,87.2,0.051547752,0.10070773999999999,Rigel,0860,0.021955524,8.1080007,"120,000"
8,8,2MASS J00332386-1521309 [de],131.0,0.027683052,0.14695108999999998,Procyon,0011.4,0.001431882,0.19524969999999997,7.7
9,9,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999998,Betelgeuse,0640[1],0.01909176,97.62485,"60,000"
10,10,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999998,Achernar,0144,0.0063957396,0.9556959,"3,000"
11,11,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,Hadar,0390,0.010023174000000001,0.8837617999999999,"42,000"
12,12,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.13359189999999999,Altair,0017,0.0017182584,0.18497339999999998,10.5
13,13,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999998,Acrux,0320,0.017182584,0.9145907,"25,000"
14,14,2MASS J00034227-2822410,0.0,0.0,0.0,Aldebaran,0065,0.001431882,4.521572,520
15,15,2MASS J00584253-0651239 [de],96.0,0.027683052,0.14695108999999998,Antares,0600,0.011455056,69.87884,"75,000"
16,16,CFBDS J005910.90–011401.3,30.0,0.021955524,0.0,Spica,0260,0.01091094084,0.7676396099999999,"20,512"
17,17,2MASSI J0103320+193536,70.0,0.049638576000000004,0.10070773999999999,Pollux,0034,0.0018137172,0.9043144,43
18,18,SDSSp J010752.33+004156.1 [de],51.0,0.049638576000000004,0.10070773999999999,Fomalhaut,0025,0.0018137172,0.18497339999999998,16.6
19,19,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,Deneb,"2,600",0.018137172,20.860889,"200,000"
20,20,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,Mimosa,0350,0.015273408,0.8632092,"34,000"
21,21,SDSS J015141.69+124429.6,70.0,0.044865636,0.09968010999999999,Regulus,0077,0.0036274344,0.3185653,290
22,22,DENIS-P J020529.0−115925A,65.0,0.0,0.0,Adhara,0430,0.01193235,1.438682,"39,000"
23,23,DENIS-P J020529.0−115925B,65.0,0.0,0.0,Shaula,0700,0.013841526,0.9043144,"36,000"
24,24,DENIS-P J020529.0−115925C,65.0,0.0,0.0,Castor,0052,0.0026728464,0.24663119999999997,30
25,25,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.09968010999999999,Gacrux,0088,0.001431882,8.632092,820
26,26,2MASS J02103857-3015313,101.0,0.014318820000000001,0.15722739,Bellatrix,0240,0.0082094568,0.5960253999999999,"9,200"
27,27,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,Elnath,0130,0.00477294,0.4316046,700
28,28,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998,Miaplacidus,0110,0.003341058,0.6987884,290
